keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Tunisie',en,Tunisia,#32731C,#32731C,2,0.10008646626553237
'Tunisie',en,Tunisia,#32731C,#32731C,2,0.10008646626553237
'Bénin',en,Benin,#DCC886,#DCC886,2,0.10008706972752748
'Porto Novo',en,Benin,#DCC886,#DCC886,2,0.10008706972752748
'Bruxelles',en,Belgium,#6272F5,#6272F5,2,0.1000875498202252
'Belgique',en,Belgium,#6272F5,#6272F5,2,0.1000875498202252
'Sucre',en,Bolivia,#A7BA15,#A7BA15,2,0.10008808134347302
'Bolivie',en,Bolivia,#A7BA15,#A7BA15,2,0.10008808134347302
'Cuba',en,Cuba,#9D3FA5,#9D3FA5,2,0.10008819790339472
'La Havane',en,Cuba,#9D3FA5,#9D3FA5,2,0.10008819790339472
'Burundi',en,Burundi,#FD3273,#FD3273,2,0.10008948243182468
'Gitega',en,Burundi,#FD3273,#FD3273,2,0.10008948243182468
'Port-au-Prince',en,Haiti,#89AD94,#89AD94,2,0.10008990238039928
'Haïti',en,Haiti,#89AD94,#89AD94,2,0.10008990238039928
'Serbie et Monténégro',en,Serbia and Montenegro,#19F9E3,#19F9E3,2,0.100092343137866
'Belgrade',en,Serbia and Montenegro,#19F9E3,#19F9E3,2,0.100092343137866
